id,age_category,age,gender_category,gender,education_category,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsiveness,sensation,cannabis
39,45-54,4,M,1,University_degree,7,22,48,48,43,47,4,4,1
40,65+,6,F,0,Certificate-diploma,6,33,33,38,38,45,2,9,1
41,35-44,3,M,1,Masters,8,36,37,46,29,47,3,8,0
42,35-44,3,F,0,University_degree,7,44,40,53,54,39,4,9,0
43,35-44,3,M,1,Masters,8,34,33,37,43,37,4,6,1
44,35-44,3,M,1,Certificate-diploma,6,27,36,44,42,34,4,9,1
45,25-34,2,M,1,University_degree,7,26,49,49,51,48,4,8,0
46,25-34,2,F,0,University_degree,7,31,43,54,49,52,2,1,0
47,45-54,4,F,0,Some_college,5,39,44,38,45,51,3,4,1
48,45-54,4,M,1,Masters,8,19,45,48,49,49,1,3,1
49,45-54,4,M,1,Left_school_at_16,2,37,34,44,42,37,5,4,1
50,25-34,2,F,0,Masters,8,44,36,32,37,44,6,5,0
51,35-44,3,M,1,Masters,8,46,39,45,35,42,3,4,1
52,45-54,4,M,1,Certificate-diploma,6,47,46,42,37,27,9,2,1
53,55-64,5,F,0,University_degree,7,34,40,36,45,36,6,2,0
54,45-54,4,M,1,Masters,8,23,39,53,45,44,4,9,1
55,55-64,5,M,1,Left_school_at_16,2,36,47,42,36,33,8,5,1
56,55-64,5,F,0,Certificate-diploma,6,36,35,38,40,39,2,1,0
57,35-44,3,F,0,Some_college,5,36,40,34,43,44,2,2,0
58,25-34,2,F,0,University_degree,7,30,44,32,45,47,3,6,0
59,45-54,4,M,1,Left_school_at_18,4,38,44,46,40,39,9,5,1
60,45-54,4,M,1,University_degree,7,31,31,37,32,41,2,2,0
61,25-34,2,F,0,Doctorate,9,49,42,48,41,40,2,8,0
62,45-54,4,M,1,Masters,8,18,50,54,44,50,2,3,1
63,25-34,2,M,1,University_degree,7,30,30,33,34,45,2,3,0
64,45-54,4,M,1,University_degree,7,46,38,41,39,42,2,3,0
65,45-54,4,M,1,Doctorate,9,22,43,53,40,48,2,6,1
66,35-44,3,M,1,Some_college,5,43,43,40,50,46,6,9,0
67,45-54,4,M,1,Left_school_at_16,2,26,35,38,51,45,3,3,0
68,25-34,2,M,1,Masters,8,32,38,53,37,41,7,9,1
69,35-44,3,M,1,Certificate-diploma,6,27,40,48,42,40,4,8,1
70,45-54,4,F,0,Left_school_at_16,2,35,35,34,45,42,2,4,0
71,25-34,2,M,1,Some_college,5,32,38,47,30,40,6,7,1
72,45-54,4,F,0,Left_school_at_18,4,31,47,44,50,43,1,4,1
73,45-54,4,M,1,Left_school_at_18,4,22,46,46,46,48,5,10,1
74,45-54,4,M,1,Certificate-diploma,6,29,36,44,45,49,3,9,0
75,65+,6,F,0,Left_school_at_16,2,25,27,26,33,44,6,1,0
76,25-34,2,M,1,University_degree,7,34,41,35,38,39,6,9,1
77,45-54,4,F,0,Left_school_at_17,3,32,35,35,46,46,1,1,0
78,35-44,3,M,1,University_degree,7,37,28,42,35,39,4,1,1
79,35-44,3,M,1,Some_college,5,28,34,31,32,25,1,3,1
80,35-44,3,M,1,Certificate-diploma,6,32,34,32,50,37,4,9,0
81,65+,6,F,0,Doctorate,9,36,42,49,42,51,4,9,1
82,55-64,5,F,0,University_degree,7,28,31,46,37,41,7,10,1
83,55-64,5,M,1,Masters,8,19,49,39,47,51,4,3,0
84,55-64,5,F,0,Left_school_at_17,3,46,33,38,52,29,5,9,1
85,45-54,4,M,1,Left_school_at_16,2,32,41,44,41,41,2,8,1
86,25-34,2,F,0,Left_school_at_18,4,31,40,35,44,45,6,5,1
87,35-44,3,M,1,Some_college,5,43,39,38,44,41,4,10,1
88,55-64,5,M,1,Left_school_at_16,2,27,41,43,41,44,3,10,1
89,35-44,3,F,0,Some_college,5,39,26,36,38,38,2,1,1
90,35-44,3,F,0,Masters,8,45,36,48,39,40,6,9,0
91,35-44,3,F,0,Masters,8,49,42,51,45,36,2,8,1
92,35-44,3,M,1,Certificate-diploma,6,40,37,51,45,47,7,7,1
93,25-34,2,M,1,Left_school_at_18,4,22,38,43,45,42,3,4,1
94,65+,6,F,0,Left_school_at_16,2,34,34,39,48,45,2,2,0
95,45-54,4,M,1,Masters,8,29,36,39,47,41,2,1,1
96,45-54,4,M,1,Masters,8,31,42,53,32,49,6,9,1
97,35-44,3,F,0,University_degree,7,37,32,48,42,47,2,2,1
98,45-54,4,F,0,Masters,8,31,44,44,39,33,5,4,1
99,35-44,3,M,1,Doctorate,9,25,37,46,39,48,4,5,1
100,25-34,2,F,0,University_degree,7,29,58,51,49,52,6,10,1
101,25-34,2,M,1,Masters,8,26,55,50,33,39,4,5,1
102,45-54,4,F,0,Left_school_at_16,2,30,43,34,42,48,2,4,1
103,45-54,4,M,1,Left_school_at_18,4,30,48,55,34,42,3,5,1
104,45-54,4,F,0,Certificate-diploma,6,36,44,44,41,43,5,7,0
105,25-34,2,F,0,Some_college,5,27,41,45,50,46,3,8,1
106,35-44,3,M,1,Certificate-diploma,6,18,43,33,38,54,2,2,0
107,25-34,2,F,0,Some_college,5,46,38,33,45,39,2,4,0
108,35-44,3,F,0,Left_school_at_16,2,37,40,37,38,46,6,9,0
109,25-34,2,F,0,University_degree,7,31,53,47,44,47,9,5,1
110,45-54,4,F,0,Some_college,5,28,43,36,37,38,3,8,1
111,45-54,4,M,1,Masters,8,34,42,47,41,41,5,6,0
112,25-34,2,M,1,Masters,8,39,32,40,39,37,5,10,1
113,25-34,2,F,0,University_degree,7,25,42,52,35,36,4,9,1
114,45-54,4,F,0,Certificate-diploma,6,36,44,48,44,47,5,9,1
115,35-44,3,M,1,Some_college,5,17,52,55,38,31,9,5,1
116,25-34,2,F,0,Certificate-diploma,6,38,36,40,45,49,2,1,1
117,35-44,3,M,1,Certificate-diploma,6,42,36,47,31,39,6,9,1
118,25-34,2,F,0,University_degree,7,51,45,55,44,33,6,10,1
119,35-44,3,F,0,Some_college,5,53,26,29,50,44,4,2,1
120,35-44,3,F,0,University_degree,7,32,44,39,45,51,4,4,0
121,25-34,2,F,0,Masters,8,26,44,39,36,47,5,2,1
122,35-44,3,F,0,Certificate-diploma,6,50,31,35,29,36,6,8,0
123,55-64,5,M,1,Masters,8,38,41,45,41,35,4,6,1
124,25-34,2,F,0,University_degree,7,38,35,43,43,43,8,8,1
125,45-54,4,M,1,Left_school_at_16,2,32,52,48,46,46,4,9,0
126,55-64,5,M,1,University_degree,7,31,48,49,44,49,6,10,0
127,45-54,4,M,1,University_degree,7,25,44,38,40,42,4,4,1
128,45-54,4,F,0,Left_school_at_17,3,32,34,40,45,48,2,1,0
129,35-44,3,M,1,Doctorate,9,36,44,47,44,44,4,3,0
130,45-54,4,F,0,Masters,8,28,46,38,49,45,5,10,0
131,45-54,4,F,0,Left_school_at_16,2,45,42,36,46,55,3,3,0
132,45-54,4,F,0,Left_school_at_16,2,22,39,37,57,46,2,1,0
133,35-44,3,F,0,Left_school_at_18,4,33,36,42,42,44,2,2,0
134,35-44,3,M,1,Masters,8,35,41,48,42,43,6,10,1
135,25-34,2,F,0,Masters,8,60,29,44,47,37,2,10,1
136,35-44,3,F,0,Left_school_at_16,2,21,50,42,54,52,6,6,0
137,45-54,4,F,0,University_degree,7,34,38,34,54,52,8,8,1
138,45-54,4,F,0,University_degree,7,25,50,48,48,45,1,3,0
139,55-64,5,M,1,University_degree,7,31,34,47,45,48,2,3,1
140,45-54,4,M,1,Left_school_at_16,2,35,42,42,49,40,4,9,1
141,25-34,2,F,0,University_degree,7,54,42,55,49,40,3,9,0
142,35-44,3,F,0,Left_school_at_16,2,28,44,38,51,46,2,1,0
143,35-44,3,M,1,Left_school_at_17,3,31,38,37,45,41,6,10,1
144,35-44,3,M,1,Certificate-diploma,6,21,48,42,51,54,3,6,0
145,45-54,4,M,1,Certificate-diploma,6,37,32,43,35,42,4,7,1
146,45-54,4,F,0,University_degree,7,31,41,38,56,47,8,10,1
147,55-64,5,M,1,Certificate-diploma,6,38,31,45,40,40,5,3,1
148,35-44,3,M,1,Masters,8,30,43,41,44,48,4,6,0
149,35-44,3,F,0,Certificate-diploma,6,35,32,28,37,44,2,2,0
150,45-54,4,F,0,University_degree,7,28,52,41,55,52,4,3,1
151,35-44,3,F,0,Some_college,5,33,48,47,47,49,5,8,0
152,35-44,3,F,0,University_degree,7,41,28,33,46,35,3,4,1
153,25-34,2,F,0,University_degree,7,31,29,41,39,37,1,2,1
154,25-34,2,M,1,University_degree,7,29,46,34,48,47,4,6,1
155,18-24,1,F,0,Some_college,5,59,30,51,40,46,4,7,0
156,35-44,3,F,0,University_degree,7,42,30,37,45,40,3,4,0
157,35-44,3,F,0,Some_college,5,48,40,44,50,43,5,6,1
158,25-34,2,M,1,Left_school_at_16,2,26,47,33,40,47,4,7,0
159,35-44,3,F,0,University_degree,7,33,41,44,41,45,7,5,0
160,45-54,4,F,0,Some_college,5,31,36,42,44,44,4,3,0
161,45-54,4,M,1,Masters,8,46,45,49,42,44,4,10,1
162,35-44,3,M,1,University_degree,7,29,42,40,54,39,3,3,0
163,25-34,2,F,0,University_degree,7,38,40,45,53,48,2,9,1
164,25-34,2,F,0,Some_college,5,53,40,44,49,43,4,4,0
165,25-34,2,F,0,Doctorate,9,37,42,35,52,49,2,6,1
166,45-54,4,M,1,Masters,8,33,38,44,40,52,2,4,1
167,18-24,1,M,1,Some_college,5,50,31,51,27,27,7,8,1
168,25-34,2,F,0,Certificate-diploma,6,36,40,39,40,48,6,6,0
169,25-34,2,F,0,University_degree,7,38,48,37,41,33,6,10,0
170,18-24,1,F,0,Left_school_at_18,4,32,40,36,47,41,3,10,0
171,45-54,4,M,1,Left_school_at_16,2,49,38,44,44,41,7,10,1
172,35-44,3,M,1,Masters,8,32,46,58,48,36,8,2,1
173,45-54,4,F,0,Certificate-diploma,6,41,36,43,40,47,5,3,1
174,35-44,3,F,0,University_degree,7,46,44,54,44,44,6,10,0
175,35-44,3,F,0,Certificate-diploma,6,46,36,30,48,30,7,8,0
176,55-64,5,F,0,University_degree,7,42,40,49,51,43,5,8,1
177,35-44,3,F,0,University_degree,7,34,36,40,35,38,2,3,0
178,35-44,3,F,0,University_degree,7,50,40,37,37,49,3,6,0
179,45-54,4,F,0,University_degree,7,44,33,43,48,41,5,9,1
180,35-44,3,F,0,Certificate-diploma,6,40,39,39,50,37,2,3,1
181,45-54,4,F,0,Certificate-diploma,6,39,44,35,45,48,5,8,0
182,25-34,2,M,1,Doctorate,9,24,37,44,47,48,3,3,0
183,35-44,3,F,0,Some_college,5,39,45,44,51,47,2,3,0
184,18-24,1,F,0,University_degree,7,54,37,48,38,48,3,10,0
185,55-64,5,M,1,Left_school_at_18,4,36,34,39,47,44,2,3,0
186,35-44,3,F,0,University_degree,7,39,44,46,48,41,4,6,1
187,35-44,3,F,0,Masters,8,29,49,47,45,53,2,2,1
188,55-64,5,F,0,Left_school_at_16,2,28,34,32,50,46,2,2,1
189,45-54,4,F,0,Left_school_at_16,2,40,30,31,47,40,2,1,0
190,18-24,1,F,0,Masters,8,32,40,43,44,47,3,4,1
191,55-64,5,F,0,Certificate-diploma,6,23,40,40,47,40,3,2,0
192,18-24,1,M,1,University_degree,7,32,48,38,47,38,6,8,1
193,25-34,2,F,0,Certificate-diploma,6,28,38,45,45,38,7,8,1
194,45-54,4,F,0,University_degree,7,39,32,43,44,43,2,8,1
195,25-34,2,F,0,University_degree,7,27,48,46,43,45,3,3,1
196,55-64,5,F,0,University_degree,7,42,42,51,41,48,6,8,1
197,18-24,1,M,1,University_degree,7,30,42,42,51,35,5,3,0
198,55-64,5,F,0,University_degree,7,32,43,41,37,38,3,4,0
199,25-34,2,F,0,Certificate-diploma,6,35,43,50,48,42,9,5,1
200,45-54,4,F,0,Certificate-diploma,6,31,54,51,54,50,6,8,1
201,18-24,1,F,0,University_degree,7,30,41,40,50,51,6,5,0
202,35-44,3,M,1,Masters,8,34,33,42,34,50,3,4,1
203,35-44,3,F,0,University_degree,7,29,48,43,49,49,5,4,1
204,65+,6,M,1,Left_school_before_16,1,22,32,29,37,37,2,1,0
205,25-34,2,F,0,University_degree,7,34,46,54,43,44,4,10,1
206,35-44,3,F,0,Left_school_at_16,2,34,47,48,37,34,9,10,0
207,18-24,1,F,0,University_degree,7,35,48,50,44,45,7,8,0
208,35-44,3,F,0,Certificate-diploma,6,29,43,42,47,41,4,10,1
209,35-44,3,F,0,University_degree,7,37,40,45,41,42,6,5,1
210,25-34,2,M,1,Masters,8,23,43,53,40,49,2,4,0
211,25-34,2,F,0,Some_college,5,43,41,36,43,32,9,7,0
212,45-54,4,F,0,Left_school_at_16,2,29,36,38,50,48,2,1,0
213,25-34,2,F,0,Certificate-diploma,6,37,44,40,54,46,4,3,1
214,45-54,4,F,0,Certificate-diploma,6,41,39,37,49,43,2,2,0
215,25-34,2,F,0,Certificate-diploma,6,34,47,49,51,50,5,5,1
216,25-34,2,F,0,University_degree,7,51,38,41,50,39,5,8,1
217,25-34,2,F,0,Certificate-diploma,6,38,47,48,52,42,7,7,1
218,35-44,3,M,1,Certificate-diploma,6,48,45,49,52,29,9,7,1
219,25-34,2,F,0,Masters,8,39,47,40,36,47,4,6,1
220,35-44,3,F,0,Some_college,5,32,36,47,50,44,2,4,1
221,18-24,1,F,0,University_degree,7,44,38,48,43,43,5,8,1
222,25-34,2,F,0,University_degree,7,34,43,43,38,48,6,6,0
223,35-44,3,F,0,University_degree,7,33,44,51,50,44,8,5,1
224,55-64,5,M,1,University_degree,7,25,47,44,50,48,4,8,0
225,45-54,4,F,0,University_degree,7,31,49,48,46,47,4,9,0
226,35-44,3,F,0,University_degree,7,24,44,52,40,44,2,2,0
227,45-54,4,F,0,University_degree,7,31,43,41,52,51,4,4,1
228,18-24,1,M,1,Some_college,5,38,46,39,39,46,8,10,1
229,45-54,4,M,1,Masters,8,29,42,46,38,41,5,8,1
230,45-54,4,F,0,University_degree,7,26,49,47,49,52,2,1,1
231,35-44,3,F,0,Certificate-diploma,6,46,23,33,47,45,2,2,1
232,65+,6,F,0,Masters,8,37,32,43,40,44,4,2,0
233,25-34,2,F,0,University_degree,7,36,48,46,44,47,6,7,0
234,45-54,4,M,1,University_degree,7,29,45,36,49,44,6,10,0
235,25-34,2,F,0,University_degree,7,40,46,46,37,52,5,10,1
236,25-34,2,F,0,Certificate-diploma,6,36,46,37,56,54,2,1,0
237,25-34,2,F,0,Masters,8,50,42,45,46,45,5,9,0
238,25-34,2,F,0,Left_school_at_16,2,45,39,30,45,50,2,1,1
239,18-24,1,F,0,Left_school_at_18,4,41,39,41,39,44,4,9,0
240,45-54,4,F,0,Certificate-diploma,6,20,44,51,53,44,2,4,0
241,35-44,3,F,0,Masters,8,42,31,46,53,56,2,4,0
242,25-34,2,F,0,Left_school_at_18,4,55,31,40,48,34,5,3,1
243,18-24,1,F,0,Some_college,5,50,29,24,48,35,2,2,0
244,25-34,2,F,0,University_degree,7,30,47,51,49,48,2,9,1
245,35-44,3,M,1,University_degree,7,54,29,45,50,20,3,6,1
246,25-34,2,F,0,Some_college,5,33,33,34,33,31,1,2,1
247,25-34,2,F,0,Certificate-diploma,6,49,35,37,46,37,4,4,1
248,45-54,4,M,1,Masters,8,27,38,38,47,52,4,6,0
249,45-54,4,F,0,Doctorate,9,16,41,44,55,53,3,3,0
250,45-54,4,F,0,Certificate-diploma,6,47,42,45,49,49,3,9,0
251,45-54,4,M,1,University_degree,7,31,41,44,40,51,5,4,0
252,35-44,3,F,0,University_degree,7,42,33,41,42,47,2,2,0
253,18-24,1,F,0,Masters,8,23,46,42,56,54,3,9,1
254,45-54,4,F,0,Doctorate,9,28,41,48,43,48,2,1,1
255,25-34,2,M,1,Certificate-diploma,6,49,35,41,37,40,2,4,1
256,35-44,3,F,0,Masters,8,25,51,53,51,47,5,10,1
257,18-24,1,F,0,Some_college,5,31,44,44,48,48,3,9,1
258,35-44,3,M,1,Doctorate,9,36,40,52,25,40,3,8,1
259,65+,6,M,1,Doctorate,9,41,39,43,33,53,3,2,0
260,65+,6,M,1,Certificate-diploma,6,26,38,48,46,47,4,6,0
261,45-54,4,F,0,Certificate-diploma,6,31,46,58,37,42,9,5,1
262,55-64,5,M,1,University_degree,7,29,37,51,43,41,9,8,1
263,45-54,4,M,1,Masters,8,27,45,44,49,44,2,2,0
264,55-64,5,F,0,Left_school_before_16,1,26,40,46,53,49,3,2,0
265,18-24,1,F,0,University_degree,7,31,41,46,47,46,2,3,1
266,35-44,3,F,0,University_degree,7,33,40,43,43,42,3,1,0
267,55-64,5,M,1,University_degree,7,25,39,45,45,47,4,8,1
268,35-44,3,M,1,Certificate-diploma,6,27,49,37,40,42,4,8,0
269,45-54,4,F,0,Masters,8,26,51,50,46,54,4,6,1
270,35-44,3,F,0,Masters,8,27,41,40,38,43,2,1,0
271,45-54,4,F,0,Masters,8,17,53,56,48,47,7,10,1
272,45-54,4,F,0,Masters,8,43,35,49,45,31,3,7,1
273,55-64,5,M,1,Doctorate,9,26,40,46,45,42,6,4,0
274,25-34,2,F,0,University_degree,7,38,41,38,45,44,3,9,1
275,35-44,3,M,1,Masters,8,38,46,47,37,46,4,7,1
276,35-44,3,F,0,Masters,8,40,37,47,46,52,2,9,1
277,55-64,5,M,1,Doctorate,9,27,43,42,41,38,4,6,0
278,25-34,2,M,1,Some_college,5,26,49,53,48,41,6,8,1
279,45-54,4,F,0,University_degree,7,33,37,44,48,42,3,6,0
280,45-54,4,M,1,Masters,8,24,45,48,46,45,5,6,1
281,55-64,5,M,1,Masters,8,35,41,51,43,35,3,4,0
282,45-54,4,F,0,Some_college,5,36,38,30,42,41,3,4,0
283,45-54,4,F,0,Masters,8,35,40,47,49,48,5,10,1
284,45-54,4,M,1,University_degree,7,27,50,47,41,47,5,10,0
285,35-44,3,M,1,Certificate-diploma,6,25,34,51,40,44,8,9,1
286,35-44,3,M,1,University_degree,7,27,48,41,41,44,2,9,0
287,45-54,4,F,0,University_degree,7,38,30,45,34,41,2,1,0
288,45-54,4,M,1,Masters,8,39,42,43,46,35,4,9,1
289,25-34,2,M,1,Some_college,5,42,42,41,41,42,4,2,0
290,25-34,2,F,0,Masters,8,19,44,41,53,49,2,3,1
291,35-44,3,F,0,Certificate-diploma,6,27,46,40,52,48,2,2,0
292,35-44,3,F,0,Some_college,5,42,32,49,38,39,2,6,1
293,45-54,4,F,0,Certificate-diploma,6,35,39,42,39,45,3,6,0
295,25-34,2,F,0,Certificate-diploma,6,47,40,45,38,39,5,9,1
296,18-24,1,F,0,Left_school_at_17,3,32,43,45,39,41,3,4,0
297,35-44,3,M,1,Certificate-diploma,6,49,37,47,43,42,3,6,1
298,65+,6,F,0,Left_school_at_16,2,44,34,47,42,49,4,6,0
300,35-44,3,F,0,University_degree,7,37,38,36,53,45,4,2,0
301,35-44,3,F,0,Certificate-diploma,6,44,33,45,46,46,3,4,0
302,25-34,2,F,0,Some_college,5,33,37,35,44,46,2,2,0
303,35-44,3,F,0,Doctorate,9,41,37,41,47,48,3,4,0
304,55-64,5,F,0,Certificate-diploma,6,34,44,46,38,39,4,8,1
305,45-54,4,F,0,University_degree,7,32,40,37,42,48,4,3,0
306,45-54,4,F,0,University_degree,7,26,22,37,53,43,3,2,0
307,35-44,3,M,1,Masters,8,38,31,40,36,47,2,4,1
308,45-54,4,M,1,Masters,8,31,36,41,50,47,3,6,1
309,35-44,3,F,0,Left_school_at_18,4,21,45,45,43,52,5,8,0
310,35-44,3,M,1,Masters,8,28,41,45,47,45,2,1,0
311,45-54,4,F,0,University_degree,7,24,39,40,44,46,2,2,0
312,18-24,1,F,0,Left_school_at_16,2,47,36,32,41,41,9,7,1
313,45-54,4,F,0,Masters,8,32,40,43,45,43,2,6,0
314,25-34,2,F,0,Masters,8,36,51,48,47,50,5,6,0
315,18-24,1,F,0,Left_school_at_18,4,30,41,41,44,41,3,3,0
316,45-54,4,F,0,Doctorate,9,28,45,50,43,45,3,6,0
317,55-64,5,F,0,University_degree,7,31,45,53,40,36,9,10,1
318,35-44,3,M,1,University_degree,7,28,52,39,43,49,3,6,1
319,25-34,2,F,0,Certificate-diploma,6,36,40,41,45,48,2,3,0
320,45-54,4,F,0,Left_school_at_16,2,39,38,37,42,46,7,10,0
321,45-54,4,F,0,University_degree,7,43,38,42,36,41,2,3,1
322,35-44,3,F,0,Some_college,5,41,38,39,54,52,2,1,0
323,18-24,1,F,0,University_degree,7,28,43,49,49,43,4,10,1
324,45-54,4,M,1,Left_school_at_17,3,45,32,34,45,36,3,8,1
325,25-34,2,F,0,Doctorate,9,38,40,55,37,48,5,6,1
326,35-44,3,F,0,Certificate-diploma,6,28,48,45,49,55,5,6,0
327,35-44,3,M,1,Left_school_at_18,4,30,28,32,49,45,6,8,1
328,45-54,4,M,1,Masters,8,20,50,46,53,50,2,4,0
329,25-34,2,F,0,Certificate-diploma,6,38,38,37,50,38,2,1,1
330,45-54,4,M,1,Certificate-diploma,6,32,43,39,46,41,6,9,1
331,45-54,4,F,0,Certificate-diploma,6,26,43,41,48,47,4,9,0
332,35-44,3,M,1,Left_school_before_16,1,33,37,39,40,46,2,4,1
333,55-64,5,F,0,Left_school_at_18,4,31,37,35,49,47,2,2,0
334,18-24,1,F,0,Some_college,5,59,26,40,46,28,5,6,1
335,65+,6,M,1,Some_college,5,24,37,39,44,43,8,9,0
336,65+,6,F,0,Left_school_at_16,2,34,39,36,34,42,4,7,0
337,25-34,2,F,0,Masters,8,40,36,50,46,34,9,7,1
338,45-54,4,F,0,Masters,8,42,41,45,43,50,4,4,0
339,45-54,4,F,0,Certificate-diploma,6,30,42,53,31,45,9,10,1
340,35-44,3,M,1,Doctorate,9,20,48,48,48,51,4,10,0
341,45-54,4,F,0,Certificate-diploma,6,34,38,42,49,47,2,9,0
342,35-44,3,F,0,Masters,8,31,47,52,45,45,1,9,1
343,55-64,5,F,0,Certificate-diploma,6,21,46,44,49,53,1,2,0
344,55-64,5,F,0,Certificate-diploma,6,42,40,46,42,46,5,6,0
345,18-24,1,F,0,Left_school_before_16,1,38,39,46,42,39,7,4,1
346,35-44,3,F,0,Masters,8,20,41,55,54,49,3,4,1
347,35-44,3,F,0,University_degree,7,36,43,45,49,44,5,9,1
348,45-54,4,F,0,University_degree,7,34,51,56,57,44,9,5,1
349,45-54,4,M,1,Masters,8,27,45,46,43,45,2,2,1
350,45-54,4,M,1,Certificate-diploma,6,30,42,43,42,44,4,3,0
351,45-54,4,M,1,University_degree,7,41,35,42,44,41,4,10,1
352,35-44,3,F,0,Some_college,5,46,36,52,51,37,7,9,1
353,35-44,3,M,1,Certificate-diploma,6,40,41,46,40,38,4,10,1
354,45-54,4,M,1,University_degree,7,34,35,49,48,31,5,9,1
355,25-34,2,M,1,Left_school_at_16,2,31,40,45,39,45,6,4,1
356,35-44,3,M,1,Certificate-diploma,6,38,39,46,45,40,3,10,1
357,25-34,2,M,1,Left_school_before_16,1,42,40,54,54,48,9,2,1
358,45-54,4,M,1,University_degree,7,25,39,37,52,45,3,8,1
359,35-44,3,M,1,Left_school_at_16,2,57,31,39,31,29,9,2,1
360,35-44,3,M,1,Some_college,5,40,34,52,44,39,6,9,1
361,25-34,2,F,0,Some_college,5,30,50,50,44,45,8,2,1
362,45-54,4,F,0,University_degree,7,41,45,46,44,41,4,8,1
363,35-44,3,F,0,Certificate-diploma,6,42,44,53,49,50,7,10,1
364,45-54,4,M,1,University_degree,7,40,42,45,47,45,3,6,1
365,45-54,4,F,0,Certificate-diploma,6,48,39,37,48,45,2,1,0
366,35-44,3,F,0,Doctorate,9,40,39,47,43,38,4,9,1
367,45-54,4,M,1,Certificate-diploma,6,34,40,42,40,32,2,2,1
368,35-44,3,F,0,University_degree,7,26,43,45,42,46,2,3,0
369,45-54,4,F,0,University_degree,7,25,43,48,46,44,5,9,1
370,25-34,2,M,1,Certificate-diploma,6,35,33,34,44,47,4,4,1
371,25-34,2,F,0,University_degree,7,48,42,48,48,37,5,9,1
372,18-24,1,M,1,Left_school_at_18,4,38,42,47,37,40,3,8,1
373,35-44,3,F,0,University_degree,7,46,54,56,34,45,8,2,1
374,18-24,1,F,0,Some_college,5,45,46,38,47,44,4,10,1
375,45-54,4,M,1,University_degree,7,32,27,51,37,43,4,6,1
376,55-64,5,F,0,Masters,8,33,48,52,53,49,3,3,0
377,65+,6,M,1,Certificate-diploma,6,37,41,48,34,51,2,4,0
378,45-54,4,F,0,Masters,8,27,40,41,44,48,3,10,1
379,25-34,2,F,0,University_degree,7,31,36,34,46,38,3,3,1
380,25-34,2,M,1,Masters,8,44,33,50,47,47,6,9,0
381,45-54,4,F,0,Certificate-diploma,6,44,37,51,43,44,4,9,1
382,35-44,3,M,1,University_degree,7,31,47,44,39,43,5,7,1
383,35-44,3,M,1,Left_school_at_16,2,32,36,38,37,36,8,6,1
384,35-44,3,F,0,Masters,8,28,41,45,41,47,5,10,1
385,45-54,4,F,0,University_degree,7,37,38,43,50,47,1,6,0
